t,n,INFEASIBILITY_EL_POS
t0001,n1,0.0
t0001,n2,0.0
t0001,n3,0.0
t0001,n4,0.0
t0001,n5,0.0
t0001,n6,0.0
t0001,n7,0.0
t0001,n8,0.0
t0001,n9,0.0
t0001,n10,0.0
t0001,n11,0.0
t0001,n12,0.0
t0001,n13,0.0
t0001,n14,0.0
t0001,n15,0.0
t0001,n16,0.0
t0001,n17,0.0
t0001,n18,0.0
t0001,n19,0.0
t0001,n20,0.0
t0001,n21,0.0
t0001,n22,0.0
t0001,n23,0.0
t0001,n24,0.0
t0001,n25,0.0
t0001,n26,0.0
t0001,n27,0.0
t0001,n28,0.0
t0001,n29,0.0
t0001,n30,0.0
t0001,n31,0.0
t0001,n32,0.0
t0001,n33,0.0
t0001,n34,0.0
t0001,n35,0.0
t0001,n36,0.0
t0001,n37,0.0
t0001,n38,0.0
t0001,n39,0.0
t0001,n40,0.0
t0001,n41,0.0
t0001,n42,0.0
t0001,n43,0.0
t0001,n44,0.0
t0001,n45,0.0
t0001,n46,0.0
t0001,n47,0.0
t0001,n48,0.0
t0001,n49,0.0
t0001,n50,0.0
t0001,n51,0.0
t0001,n52,0.0
t0001,n53,0.0
t0001,n54,0.0
t0001,n55,0.0
t0001,n56,0.0
t0001,n57,0.0
t0001,n58,0.0
t0001,n59,0.0
t0001,n60,0.0
t0001,n61,0.0
t0001,n62,0.0
t0001,n63,0.0
t0001,n64,0.0
t0001,n65,0.0
t0001,n66,0.0
t0001,n67,0.0
t0001,n68,0.0
t0001,n69,0.0
t0001,n70,0.0
t0001,n71,0.0
t0001,n72,0.0
t0001,n73,0.0
t0001,n74,0.0
t0001,n75,0.0
t0001,n76,0.0
t0001,n77,0.0
t0001,n78,0.0
t0001,n79,0.0
t0001,n80,0.0
t0001,n81,0.0
t0001,n82,0.0
t0001,n83,0.0
t0001,n84,0.0
t0001,n85,0.0
t0001,n86,0.0
t0001,n87,0.0
t0001,n88,0.0
t0001,n89,0.0
t0001,n90,0.0
t0001,n91,0.0
t0001,n92,0.0
t0001,n93,0.0
t0001,n94,0.0
t0001,n95,0.0
t0001,n96,0.0
t0001,n97,0.0
t0001,n98,0.0
t0001,n99,0.0
t0001,n100,0.0
t0001,n101,0.0
t0001,n102,0.0
t0001,n103,0.0
t0001,n104,0.0
t0001,n105,0.0
t0001,n106,0.0
t0001,n107,0.0
t0001,n108,0.0
t0001,n109,0.0
t0001,n110,0.0
t0001,n111,0.0
t0001,n112,0.0
t0001,n113,0.0
t0001,n114,0.0
t0001,n115,0.0
t0001,n116,0.0
t0001,n117,0.0
t0001,n118,0.0
