t,n,EB_nodal
t0001,n1,-0.6070191467245792
t0001,n2,-0.6071152046545196
t0001,n3,-0.6069783773929529
t0001,n4,-0.6068065539531681
t0001,n5,-0.6067421917125116
t0001,n6,-0.6069567245095651
t0001,n7,-0.6070393593647264
t0001,n8,-0.6061199400354335
t0001,n9,-0.6061199400354335
t0001,n10,-0.6061199400354335
t0001,n11,-0.6073614564791272
t0001,n12,-0.6071744355702786
t0001,n13,-0.6093123094643744
t0001,n14,-0.6094788479154183
t0001,n15,-0.6158347235491136
t0001,n16,-0.6041740052197488
t0001,n17,-0.597694658623461
t0001,n18,-0.6062987941166311
t0001,n19,-0.6146984749050128
t0001,n20,-0.5649592034562216
t0001,n21,-0.5288663475074834
t0001,n22,-0.48762951562258816
t0001,n23,-0.42003512108961544
t0001,n24,-0.31616906469228107
t0001,n25,-0.49594204124292596
t0001,n26,-0.5294680194542153
t0001,n27,-0.5075465154416796
t0001,n28,-0.5179645894202937
t0001,n29,-0.5294549330013849
t0001,n30,-0.6049453526000499
t0001,n31,-0.5334881288925208
t0001,n32,-0.5050273892802076
t0001,n33,-0.6784359070768748
t0001,n34,-0.7546640137971788
t0001,n35,-0.7526283036241168
t0001,n36,-0.7531894994015556
t0001,n37,-0.7498938496889497
t0001,n38,-0.6611707821597265
t0001,n39,-0.8726966440495891
t0001,n40,-0.942786918189388
t0001,n41,-0.9988475987060232
t0001,n42,-1.1542519492141499
t0001,n43,-0.944473382681534
t0001,n44,-1.2215657034680942
t0001,n45,-1.3233017185572102
t0001,n46,-1.3280698928685402
t0001,n47,-1.227164113987898
t0001,n48,-1.4848826673244155
t0001,n49,-1.5267823769012496
t0001,n50,-1.4422258105230912
t0001,n51,-1.3403732186633974
t0001,n52,-1.315307166455969
t0001,n53,-1.245608194756742
t0001,n54,-1.1936003993603768
t0001,n55,-1.1694666761546937
t0001,n56,-1.1829339992624086
t0001,n57,-1.2915532055407344
t0001,n58,-1.273192922669741
t0001,n59,-0.9033357203790817
t0001,n60,-0.7988950858040129
t0001,n61,-0.7846516431148141
t0001,n62,-0.8176767818243751
t0001,n63,-0.7770596858066312
t0001,n64,-0.711631688618833
t0001,n65,-0.530551732798891
t0001,n66,-0.9500580823261995
t0001,n67,-0.8885628786605922
t0001,n68,-0.2320113922746059
t0001,n69,0.32530060063962285
t0001,n70,0.11818949432705889
t0001,n71,0.08071749227314251
t0001,n72,-0.1092813913805177
t0001,n73,0.08071749227314251
t0001,n74,0.14673268862398123
t0001,n75,0.1554919757627193
t0001,n76,0.11402246048745145
t0001,n77,0.05414452623633298
t0001,n78,0.04483892573822769
t0001,n79,0.026527905403246302
t0001,n80,-0.026303890973093408
t0001,n81,-0.15936643552127458
t0001,n82,0.018239395048706107
t0001,n83,0.015425109286719862
t0001,n84,0.011065523896502208
t0001,n85,0.008948482809282877
t0001,n86,0.008948482809282877
t0001,n87,0.008948482809282877
t0001,n88,0.005034549458767538
t0001,n89,0.002302470492525458
t0001,n90,0.0016931067702796439
t0001,n91,0.0009111734370024676
t0001,n92,-0.0002785624480795526
t0001,n93,-0.001489461319961004
t0001,n94,-0.002534718365028483
t0001,n95,-0.0014133444909995721
t0001,n96,0.0
t0001,n97,-0.012797659984160345
t0001,n98,-0.019183271361138773
t0001,n99,-0.012736150686840104
t0001,n100,-0.007381503670954697
t0001,n101,-0.00433359077626975
t0001,n102,-0.0016286284608599704
t0001,n103,-2.5657283993603768
t0001,n104,-1.6127066191536215
t0001,n105,-1.6827382678688512
t0001,n106,-1.394487723306094
t0001,n107,-1.5386129955874726
t0001,n108,-1.8568106353502145
t0001,n109,-1.9281233548873877
t0001,n110,-2.116804925329492
t0001,n111,-2.116804925329492
t0001,n112,-2.116804925329492
t0001,n113,-0.5857286148343923
t0001,n114,-0.5060855260069207
t0001,n115,-0.5062653400911987
t0001,n116,-0.2320113922746059
t0001,n117,-0.6071744355702786
t0001,n118,0.1360316471311058
